Date,Open,High,Low,Close,Volume,Market Cap
13-Mar-23,1590.83,1699.91,1572.07,1680.31,15711468959.00,205625908298.00
12-Mar-23,1482.43,1607.15,1461.61,1590.29,11480965122.00,194610296522.00
11-Mar-23,1429.10,1484.14,1428.72,1482.62,14917080154.00,181433531480.00
10-Mar-23,1438.76,1438.76,1378.53,1429.16,12665194936.00,174891606136.00
9-Mar-23,1534.03,1544.11,1423.26,1438.66,9457897583.00,176054474765.00
8-Mar-23,1561.98,1568.18,1534.09,1534.09,7130327525.00,187732308103.00
7-Mar-23,1567.42,1579.16,1543.13,1561.93,6854058349.00,191139794721.00
6-Mar-23,1564.38,1579.46,1557.36,1567.40,5245153345.00,191808639047.00
5-Mar-23,1567.18,1584.21,1559.95,1564.47,5020886238.00,191450085930.00
4-Mar-23,1569.28,1575.64,1551.74,1566.92,4389045367.00,191750540945.00
3-Mar-23,1647.56,1648.48,1552.45,1569.17,9922240199.00,192025112412.00
2-Mar-23,1663.55,1672.05,1622.60,1647.32,7080950926.00,201588829112.00
1-Mar-23,1606.04,1663.43,1601.55,1663.43,7701847224.00,203560807724.00
28-Feb-23,1634.50,1644.44,1602.43,1605.90,6323676957.00,196519595896.00
27-Feb-23,1640.76,1662.58,1615.39,1634.33,7239824677.00,199998836364.00
26-Feb-23,1594.76,1645.27,1590.39,1640.82,5727967432.00,200793139093.00
25-Feb-23,1608.66,1608.87,1567.63,1594.91,5657686235.00,195175909086.00
24-Feb-23,1650.90,1661.09,1583.15,1608.37,8909129423.00,196822841716.00
23-Feb-23,1643.30,1674.60,1632.57,1651.07,9013236167.00,202048296021.00
22-Feb-23,1658.14,1664.00,1604.80,1643.23,9189387004.00,201088617497.00
21-Feb-23,1702.80,1714.29,1642.40,1658.04,8721608198.00,202900324404.00
20-Feb-23,1682.34,1716.49,1659.30,1702.68,7703604237.00,208362936842.00
19-Feb-23,1691.68,1718.95,1673.91,1681.44,6959144003.00,205763839950.00
18-Feb-23,1694.74,1705.31,1683.67,1691.82,5491437195.00,207034487856.00
17-Feb-23,1640.28,1716.78,1636.17,1694.78,9802443159.00,207397194107.00
16-Feb-23,1673.87,1732.80,1638.15,1640.07,12704861676.00,200701412484.00
15-Feb-23,1556.77,1674.29,1545.69,1673.75,10015035156.00,204822771744.00
14-Feb-23,1506.99,1562.03,1497.19,1556.88,9249575045.00,190520831640.00
13-Feb-23,1514.92,1524.73,1470.02,1507.17,9363855114.00,184437721061.00
12-Feb-23,1539.78,1545.55,1501.46,1515.03,5319698775.00,185400529852.00
11-Feb-23,1514.94,1541.33,1510.15,1539.93,5064007416.00,188446792044.00
10-Feb-23,1546.60,1553.33,1504.83,1514.87,8397387897.00,185380394201.00
9-Feb-23,1651.08,1655.23,1537.18,1546.44,10524969124.00,189243632233.00
8-Feb-23,1671.91,1688.53,1635.27,1650.72,7806089579.00,202004591056.00
7-Feb-23,1616.01,1673.80,1614.86,1672.00,8030277434.00,204609541066.00
6-Feb-23,1631.65,1653.72,1611.32,1616.25,6919871886.00,197786409641.00
5-Feb-23,1667.17,1671.77,1616.39,1631.65,6926696531.00,199670814562.00
4-Feb-23,1664.47,1690.10,1648.19,1667.06,5843302512.00,204004483832.00
3-Feb-23,1642.90,1670.70,1634.22,1664.75,8169519805.00,203721353154.00
2-Feb-23,1641.37,1704.46,1641.32,1643.24,10558081069.00,201089826316.00
1-Feb-23,1586.49,1644.73,1566.86,1641.79,8116969489.00,200912519458.00
31-Jan-23,1567.42,1598.52,1563.80,1586.54,6585191019.00,194150467600.00
30-Jan-23,1646.15,1646.65,1546.66,1567.33,9180418120.00,191799801099.00
29-Jan-23,1572.63,1653.73,1568.98,1646.16,8801292300.00,201446423702.00
28-Jan-23,1598.13,1604.70,1565.39,1572.44,5803653357.00,192424955723.00
27-Jan-23,1603.08,1617.00,1565.25,1598.16,8124465373.00,195572592023.00
26-Jan-23,1611.08,1626.20,1586.60,1603.11,8395315241.00,196178270960.00
25-Jan-23,1556.81,1632.24,1530.80,1611.71,10598973448.00,197231311510.00
24-Jan-23,1627.85,1639.72,1551.39,1556.60,8180274691.00,190487679000.00
23-Jan-23,1628.55,1641.22,1607.90,1628.25,8264507375.00,199255375048.00
22-Jan-23,1627.37,1658.02,1612.09,1628.38,7517988734.00,199271406210.00
21-Jan-23,1659.71,1674.18,1626.81,1627.12,8859250310.00,199116747175.00
20-Jan-23,1552.37,1659.89,1544.92,1659.75,8528894754.00,203110528556.00
19-Jan-23,1515.25,1557.97,1514.38,1552.56,6432638856.00,189992347923.00
18-Jan-23,1567.70,1602.11,1509.42,1515.51,10354880595.00,185458451766.00
17-Jan-23,1577.11,1594.00,1553.34,1567.85,7599462786.00,191863382801.00
16-Jan-23,1552.52,1594.04,1529.57,1576.83,8454485431.00,192963212849.00
15-Jan-23,1550.73,1556.95,1520.89,1552.48,6774614499.00,189982916190.00
14-Jan-23,1451.43,1563.74,1450.99,1550.71,15444626014.00,189765994313.00
